TeamID;TeamName;UserName;Country
849bb26d-c60d-467a-97fa-6d39abd1c82b;lion;lion4757;TW
f37bc86f-0a08-4b50-b679-cd00132aa39d;littleting;littleting;TH
41a17cd5-8723-4fbc-8250-d6f91f065c54;LostLogic;zkz;YU
f2665f3c-c427-4092-a327-9297a2458bbb;Lúcio Henrique;henriquebov;BR
482a9178-da63-42a6-9bdb-7b4aaed8f90b;Ludi Magister;Ludi Magister;RU
06886449-e189-4569-bf58-9ff733a269c3;Luffy;Luffy;DZ
40eac426-9cbd-416b-88b2-71ca640ef045;Lya;ZogStriP;FR
fb0ec3d8-fc96-4bb1-a54e-afff8cf85f97;Lymphocyte;zawimawi;CA
909c8c84-161a-462a-beea-0c11025eb24e;M@noBot;mateusfsilva2;BR
9688be2d-4058-4ee5-b446-95bf71c7f5ae;Malcon Mikami;MalconMikami;BR
e0d8e7e5-2235-4e09-9603-5d237e109f04;manu27400;manu27400;FR
e75c1fe0-6e79-460b-a7bc-4ae626209d33;MasterBot;Sebbi;DE
c1cb81dd-e717-4e31-a93c-c49981fd4ca2;MegaZone;FantasyDR;CN
37cdc7ff-0599-41be-a61d-c80c09996fd0;mephisto;mephisto;ID
c3e6649a-6610-464e-a551-32542d1e8abc;midnight_sunshine;arpan chak;IN
14fae5f8-d828-4da5-98f5-6cd23f4cdce1;Minds;dkloeck;DE
ce20b6da-5dd2-42f8-b99d-8387f338d39a;MIPT;Anganar;RU
3889b297-3680-47af-95ed-d43c9da09ceb;mocchi;mocchi;JP
39d0ebba-23bc-4d31-84f4-a5605cb3d6d7;MortarTeam v3;Elektordi;FR
ea49c939-2a55-449b-9005-922340d5a8b5;moustafa17;moustafa17;EG
43ee24ef-cc1c-44e6-8bcc-840d802f8fea;Nafigator;CaesaR;RU
4a93ada0-7c00-4096-9d7a-5cae9bae3439;NDK;NetDragonKing;EC
325fe7c0-6d29-4177-b7d8-35febd7bea74;nicolaennio;nicolaennio;IT
bda054b2-aa40-4130-ae43-df842113f977;NightShadows;DarkSpy;RO
f2d28508-bf5c-4eed-a7bb-cc5a596926cd;OldAsTheHills;OldAsTheHills;FR
035e587f-8a48-44ce-9953-49ec23284372;orcer;orcer;CN
62b1c084-1c3e-4f9a-b826-bae087f682b5;OsmoSys;joaquinjares;AR
affbb1a7-0c6e-4bbd-8850-c657528e2ad3;PAIR-esiea;froggy;FR
b45b3b1d-4113-4e6c-b1ef-a4c200bf0dce;PH20;einstein14;FR
6d33ccee-5a06-4040-bb9a-a9beb2d73775;PierreSonnet;PierreSonnet;FR
77773694-82ad-4f0b-896b-7fddae7278d9;planigrafo;planigrafo;CO
1c1b0f7c-825c-43f5-8934-c24eeff5796f;PokE;puttpoke;TH
436c0150-ef4c-4c79-85cc-58e82e9b33c8;prima;danver;RU
6e9fa6f3-5462-4c48-9197-02056475d27b;PSCsharp;coutud;FR
75846f14-80b1-478e-92a8-4ec5e3d10fd5;Psyho;Psyho;PL
f7c1a9f3-9aaa-48eb-9a2d-cc36dc412e96;QSD;borzos;HU
89787f11-2532-409e-8dec-bed7767f0c0d;ramol.86;ramol.86;IN
39e2d056-2ce1-4ea0-b77c-a0361c563ef5;RecGames;gdanzi;BR
949d02a3-e056-4b41-9b4b-535a9c2c8115;Rhydan;Rhydan;EE
c683f84d-1f9b-4491-8dd3-77273aa5b1e1;Royal Air Force;ikabiljo;YU
258eadd3-47dc-4f3c-9135-dc06a79a9510;Schpre;Schmidt;BR
419be719-0690-4c2d-be8d-fcc282e3b25b;Singars;Optimus_Prime;IT
96922270-60e8-43fe-831c-de5d8d917a75;Sirus;Sirus;DZ
d03330bf-0e76-408c-b143-5207a6bc4793;slimi;slimi;MA
d42a762a-21c5-4ba9-ad90-ce58006b75fe;steve981;steve981;CR
0758f11d-1459-4457-9949-9b9c443fb64d;Suecia;Julia_Suecia;SE
2bdf4fcd-86f2-46a1-a848-b0a8c5440c68;Sunshineking;Sunshineking;CN
1eca05de-8a55-41a4-89c4-5c2534434d9c;tam65536;tam65536;JP
4d2e57a9-a29d-4c21-b4d8-c4d0b63eff68;Team KHAS;yurdaerozdemir;TR
d23c0b10-d113-4379-84eb-0d0c6fd21c31;TeamSiroKuro;SiroKuro;JP
ae1e277a-67b5-4727-93b9-566dd7a86a3f;tetschu;tetschu;DE
ab10370a-0b71-4ab0-a1ab-4f1bae8c45f4;the alchemists;kenshin1;CO
b0375a5b-f29e-4cdb-8d40-8837650d0f61;The Remenents;Aquanut;US
39178ba6-6870-410f-be46-2e2c6add8a56;ToySoldiers;R1cs1;HU
3ce8b074-91d2-40c7-9343-d4eb483b074f;tsuh;marffin;CN
988dfc14-f1fc-48f0-969f-978df1d9716a;tubededentifrice;tubededentifrice;FR
a1dae83b-5082-42c3-97e2-a25b40fe83e7;Undeath;Wario;EC
69cc5b92-7e13-4824-beea-fadbbf750fa6;V_vin;V_vin;CN
3b72f72e-9ac2-48aa-925e-4178c6fa5254;wangfeng;wangfeng;CN
35704c78-8d58-4f75-bccb-5462f632970c;wangshanshan;wangshanshan;CN
272d7dca-6e29-49f4-bb22-070a40a82e49;yuge m;yuge m;JP
15ecb586-4a98-4f72-be76-c09e9f9fe92e;YUGE MFEH;YUGE MFEH;JP
d5363bc6-aeb0-4747-b092-ef533fe1610a;zhangyuu;zhangyuu;CN
df35be82-b4d6-4789-b524-dd64cf22a60c;Еternity;Kill;RU
